18:50:41 Line 45  INFO [main] - switchMenu - MENU_GAME
18:50:45 Line 91  INFO [main] - initGames - CHALLENGER
18:50:45 Line 50  INFO [main] - switchMenu - Game: MasterMind // Mode: CHALLENGER
18:50:45 Line 68  INFO [main] - validSetup - Secret code set: 18340646
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 101  INFO [main] - validPlay - Challenger guess: 55555555
18:50:45 Line 238  INFO [main] - reset - Game values have been reset (error, output, input, attempts)
18:50:45 Line 120  INFO [main] - playing - Winner game 1: AI
